query_number,iteration,execution_order,execution_time_seconds,status,row_count,timestamp
7,5,96,.668098798,SUCCESS,6,2025-10-12 23:10:00
14,5,97,.445060816,SUCCESS,3,2025-10-12 23:10:01
10,5,98,.749337257,SUCCESS,22,2025-10-12 23:10:02
18,5,99,2.890609733,SUCCESS,7,2025-10-12 23:10:05
17,5,100,.874894120,SUCCESS,3,2025-10-12 23:10:06
16,5,101,.677643390,SUCCESS,2764,2025-10-12 23:10:06
19,5,102,.363370648,SUCCESS,3,2025-10-12 23:10:07
8,5,103,.615097955,SUCCESS,4,2025-10-12 23:10:07
21,5,104,.869415250,SUCCESS,49,2025-10-12 23:10:08
1,5,105,1.974575974,SUCCESS,6,2025-10-12 23:10:10
20,5,106,.638376842,SUCCESS,11,2025-10-12 23:10:11
13,5,107,1.042395709,SUCCESS,39,2025-10-12 23:10:12
11,5,108,.521612123,SUCCESS,2543,2025-10-12 23:10:13
9,5,109,1.182671033,SUCCESS,177,2025-10-12 23:10:14
2,5,110,.497884496,SUCCESS,46,2025-10-12 23:10:14
5,6,111,.565695738,SUCCESS,7,2025-10-12 23:10:15
20,6,112,.688843133,SUCCESS,11,2025-10-12 23:10:16
19,6,113,.364228515,SUCCESS,3,2025-10-12 23:10:16
17,6,114,.901412329,SUCCESS,3,2025-10-12 23:10:17
22,6,115,.427419626,SUCCESS,9,2025-10-12 23:10:18
18,6,116,2.945701402,SUCCESS,7,2025-10-12 23:10:20
11,6,117,.521912860,SUCCESS,2543,2025-10-12 23:10:21
10,6,118,.778103589,SUCCESS,22,2025-10-12 23:10:22
7,6,119,.748058286,SUCCESS,6,2025-10-12 23:10:23
9,6,120,1.177835824,SUCCESS,177,2025-10-12 23:10:24
16,6,121,.675357282,SUCCESS,2764,2025-10-12 23:10:25
12,6,122,.879021061,SUCCESS,4,2025-10-12 23:10:26
21,6,123,.793603771,SUCCESS,49,2025-10-12 23:10:26
3,6,124,.681236055,SUCCESS,12,2025-10-12 23:10:27
1,6,125,1.974209022,SUCCESS,6,2025-10-12 23:10:29
6,6,126,.464598443,SUCCESS,3,2025-10-12 23:10:30
15,6,127,.464301415,SUCCESS,3,2025-10-12 23:10:30
2,6,128,.513880415,SUCCESS,46,2025-10-12 23:10:31
14,6,129,.425943293,SUCCESS,3,2025-10-12 23:10:31
8,6,130,.624696163,SUCCESS,4,2025-10-12 23:10:32
4,6,131,.626210270,SUCCESS,7,2025-10-12 23:10:32
13,6,132,1.015594234,SUCCESS,39,2025-10-12 23:10:33
16,7,133,.673780273,SUCCESS,2764,2025-10-12 23:10:34
8,7,134,.606193560,SUCCESS,4,2025-10-12 23:10:35
1,7,135,1.974279573,SUCCESS,6,2025-10-12 23:10:37
19,7,136,.368002938,SUCCESS,3,2025-10-12 23:10:37
20,7,137,.715523488,SUCCESS,11,2025-10-12 23:10:38
22,7,138,.428589846,SUCCESS,9,2025-10-12 23:10:38
13,7,139,1.000302820,SUCCESS,39,2025-10-12 23:10:40
7,7,140,.792545831,SUCCESS,6,2025-10-12 23:10:40
2,7,141,.510805546,SUCCESS,46,2025-10-12 23:10:41
12,7,142,.889296243,SUCCESS,4,2025-10-12 23:10:42
21,7,143,.849993229,SUCCESS,49,2025-10-12 23:10:43
4,7,144,.617382728,SUCCESS,7,2025-10-12 23:10:43
9,7,145,1.209024661,SUCCESS,177,2025-10-12 23:10:45
18,7,146,2.938003585,SUCCESS,7,2025-10-12 23:10:48
6,7,147,.465985850,SUCCESS,3,2025-10-12 23:10:48
11,7,148,.519499048,SUCCESS,2543,2025-10-12 23:10:49
14,7,149,.430500887,SUCCESS,3,2025-10-12 23:10:49
17,7,150,.865387273,SUCCESS,3,2025-10-12 23:10:50
10,7,151,.762106741,SUCCESS,22,2025-10-12 23:10:51
5,7,152,.548940870,SUCCESS,7,2025-10-12 23:10:51
15,7,153,.501057798,SUCCESS,3,2025-10-12 23:10:52
3,7,154,.666929345,SUCCESS,12,2025-10-12 23:10:53
1,8,155,1.970792370,SUCCESS,6,2025-10-12 23:10:55
5,8,156,.489028023,SUCCESS,7,2025-10-12 23:10:55
7,8,157,.679267147,SUCCESS,6,2025-10-12 23:10:56
2,8,158,.533366481,SUCCESS,46,2025-10-12 23:10:57
4,8,159,.650631940,SUCCESS,7,2025-10-12 23:10:57
19,8,160,.367298424,SUCCESS,3,2025-10-12 23:10:58
21,8,161,.863944847,SUCCESS,49,2025-10-12 23:10:59
8,8,162,.610925907,SUCCESS,4,2025-10-12 23:10:59
14,8,163,.456022112,SUCCESS,3,2025-10-12 23:11:00
17,8,164,.896682120,SUCCESS,3,2025-10-12 23:11:01
9,8,165,1.186188680,SUCCESS,177,2025-10-12 23:11:02
6,8,166,.477414498,SUCCESS,3,2025-10-12 23:11:02
13,8,167,1.009339953,SUCCESS,39,2025-10-12 23:11:03
3,8,168,.693809996,SUCCESS,12,2025-10-12 23:11:04
20,8,169,.676764620,SUCCESS,11,2025-10-12 23:11:05
11,8,170,.521642334,SUCCESS,2543,2025-10-12 23:11:05
15,8,171,.498193712,SUCCESS,3,2025-10-12 23:11:06
18,8,172,2.992416849,SUCCESS,7,2025-10-12 23:11:09
10,8,173,.757801480,SUCCESS,22,2025-10-12 23:11:10
12,8,174,.877628646,SUCCESS,4,2025-10-12 23:11:11
16,8,175,.682531785,SUCCESS,2764,2025-10-12 23:11:11
22,8,176,.425909421,SUCCESS,9,2025-10-12 23:11:12
18,9,177,3.685016378,SUCCESS,7,2025-10-12 23:11:16
8,9,178,.629304943,SUCCESS,4,2025-10-12 23:11:16
9,9,179,1.249512696,SUCCESS,177,2025-10-12 23:11:18
14,9,180,.441096167,SUCCESS,3,2025-10-12 23:11:18
19,9,181,.362959972,SUCCESS,3,2025-10-12 23:11:18
17,9,182,.896799183,SUCCESS,3,2025-10-12 23:11:19
20,9,183,.672876015,SUCCESS,11,2025-10-12 23:11:20
12,9,184,.893524672,SUCCESS,4,2025-10-12 23:11:21
7,9,185,.682642526,SUCCESS,6,2025-10-12 23:11:22
4,9,186,.609958960,SUCCESS,7,2025-10-12 23:11:22
5,9,187,.531050791,SUCCESS,7,2025-10-12 23:11:23
10,9,188,.743449077,SUCCESS,22,2025-10-12 23:11:24
13,9,189,.997787295,SUCCESS,39,2025-10-12 23:11:25
11,9,190,.523092034,SUCCESS,2543,2025-10-12 23:11:25
3,9,191,.713886999,SUCCESS,12,2025-10-12 23:11:26
2,9,192,.497016342,SUCCESS,46,2025-10-12 23:11:27
6,9,193,.515551034,SUCCESS,3,2025-10-12 23:11:27
16,9,194,.673564770,SUCCESS,2764,2025-10-12 23:11:28
15,9,195,.497347799,SUCCESS,3,2025-10-12 23:11:28
22,9,196,.427869058,SUCCESS,9,2025-10-12 23:11:29
1,9,197,2.001539891,SUCCESS,6,2025-10-12 23:11:31
21,9,198,.809504723,SUCCESS,49,2025-10-12 23:11:32
5,10,199,.494681567,SUCCESS,7,2025-10-12 23:11:32
8,10,200,.601477767,SUCCESS,4,2025-10-12 23:11:33
4,10,201,.625360139,SUCCESS,7,2025-10-12 23:11:34
10,10,202,.740491243,SUCCESS,22,2025-10-12 23:11:34
13,10,203,1.009222721,SUCCESS,39,2025-10-12 23:11:36
1,10,204,1.965679117,SUCCESS,6,2025-10-12 23:11:38
14,10,205,.441694304,SUCCESS,3,2025-10-12 23:11:38
2,10,206,.503776993,SUCCESS,46,2025-10-12 23:11:39
9,10,207,1.191253475,SUCCESS,177,2025-10-12 23:11:40
16,10,208,.670066991,SUCCESS,2764,2025-10-12 23:11:40
11,10,209,.512892104,SUCCESS,2543,2025-10-12 23:11:41
3,10,210,.741098019,SUCCESS,12,2025-10-12 23:11:42
12,10,211,.886328651,SUCCESS,4,2025-10-12 23:11:43
20,10,212,.700411468,SUCCESS,11,2025-10-12 23:11:43
7,10,213,.787342100,SUCCESS,6,2025-10-12 23:11:44
15,10,214,.475765326,SUCCESS,3,2025-10-12 23:11:45
18,10,215,2.936962824,SUCCESS,7,2025-10-12 23:11:48
22,10,216,.427750220,SUCCESS,9,2025-10-12 23:11:48
21,10,217,.783260878,SUCCESS,49,2025-10-12 23:11:49
17,10,218,.904874450,SUCCESS,3,2025-10-12 23:11:50
19,10,219,.364145091,SUCCESS,3,2025-10-12 23:11:50
6,10,220,.464069716,SUCCESS,3,2025-10-12 23:11:51
19,11,221,.365666386,SUCCESS,3,2025-10-12 23:11:51
15,11,222,.462467069,SUCCESS,3,2025-10-12 23:11:52
16,11,223,.674885469,SUCCESS,2764,2025-10-12 23:11:53
8,11,224,.608393689,SUCCESS,4,2025-10-12 23:11:53
7,11,225,.723747608,SUCCESS,6,2025-10-12 23:11:54
13,11,226,1.056914950,SUCCESS,39,2025-10-12 23:11:55
22,11,227,.423677642,SUCCESS,9,2025-10-12 23:11:56
21,11,228,.793749374,SUCCESS,49,2025-10-12 23:11:56
11,11,229,.531609987,SUCCESS,2543,2025-10-12 23:11:57
2,11,230,.499340680,SUCCESS,46,2025-10-12 23:11:57
14,11,231,.447862620,SUCCESS,3,2025-10-12 23:11:58
1,11,232,2.576183817,SUCCESS,6,2025-10-12 23:12:01
10,11,233,.792525689,SUCCESS,22,2025-10-12 23:12:01
6,11,234,.484811178,SUCCESS,3,2025-10-12 23:12:02
5,11,235,.524537998,SUCCESS,7,2025-10-12 23:12:03
20,11,236,.702616741,SUCCESS,11,2025-10-12 23:12:03
4,11,237,.648880621,SUCCESS,7,2025-10-12 23:12:04
9,11,238,1.233111170,SUCCESS,177,2025-10-12 23:12:05
17,11,239,.896468634,SUCCESS,3,2025-10-12 23:12:06
18,11,240,2.952406027,SUCCESS,7,2025-10-12 23:12:09
