io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,9.550078157,600,2025-11-05 18:40:31
iouring,1,1,1,POWER,0,2,24,.314609338,100,2025-11-05 18:41:07
iouring,1,1,1,THROUGHPUT,R,1,45,4.611860445,600,2025-11-05 18:41:12
iouring,1,1,1,THROUGHPUT,R,2,46,.348603197,100,2025-11-05 18:41:12
iouring,1,1,1,THROUGHPUT,R,1,47,5.340816999,600,2025-11-05 18:41:17
iouring,1,1,1,THROUGHPUT,R,2,48,.328607984,100,2025-11-05 18:41:18
iouring,1,1,1,THROUGHPUT,R,1,49,2.227167867,600,2025-11-05 18:41:20
iouring,1,1,1,THROUGHPUT,R,2,50,.310712828,100,2025-11-05 18:41:20
iouring,1,1,1,THROUGHPUT,R,1,51,2.125619081,600,2025-11-05 18:41:23
iouring,1,1,1,THROUGHPUT,R,2,52,.289651837,100,2025-11-05 18:41:23
