io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,1,2,,1,2025-11-04 00:23:06
sync,1,1,1,POWER,0,2,3,,48,2025-11-04 00:23:07
sync,1,1,1,POWER,0,3,4,,1114,2025-11-04 00:23:08
sync,1,1,1,POWER,0,4,5,,6,2025-11-04 00:23:09
sync,1,1,1,POWER,0,5,6,,6,2025-11-04 00:23:10
sync,1,1,1,POWER,0,6,7,,2,2025-11-04 00:23:11
sync,1,1,1,POWER,0,7,8,,5,2025-11-04 00:23:12
sync,1,1,1,POWER,0,8,9,,3,2025-11-04 00:23:13
sync,1,1,1,POWER,0,9,10,,176,2025-11-04 00:23:15
sync,1,1,1,POWER,0,10,11,,3889,2025-11-04 00:23:16
sync,1,1,1,POWER,0,11,12,,1,2025-11-04 00:23:17
sync,1,1,1,POWER,0,12,13,,3,2025-11-04 00:23:18
sync,1,1,1,POWER,0,13,14,,38,2025-11-04 00:23:19
sync,1,1,1,POWER,0,14,15,,2,2025-11-04 00:23:20
sync,1,1,1,POWER,0,15,16,,4,2025-11-04 00:23:21
sync,1,1,1,POWER,0,16,17,,2857,2025-11-04 00:23:22
sync,1,1,1,POWER,0,17,18,,2,2025-11-04 00:23:24
sync,1,1,1,POWER,0,18,19,,4,2025-11-04 00:23:25
sync,1,1,1,POWER,0,19,20,,2,2025-11-04 00:23:26
sync,1,1,1,POWER,0,20,21,,19,2025-11-04 00:23:27
sync,1,1,1,POWER,0,21,22,,43,2025-11-04 00:23:28
sync,1,1,1,POWER,0,22,23,,8,2025-11-04 00:23:29
sync,1,1,1,THROUGHPUT,1,5,1,,6,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,14,23,,2,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,4,24,,6,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,9,2,,176,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,16,25,,2857,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,4,3,,6,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,8,26,,3,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,17,27,,2,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,16,4,,2857,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,11,28,,1,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,10,5,,3889,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,9,29,,176,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,12,6,,3,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,19,30,,2,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,2,31,,48,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,7,7,,5,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,14,8,,2,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,20,32,,19,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,3,33,,1114,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,13,9,,38,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,1,34,,1,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,8,10,,3,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,1,6,11,,2,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,13,35,,38,2025-11-04 00:23:31
sync,1,1,1,THROUGHPUT,2,6,36,,2,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,7,37,,5,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,18,12,,4,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,12,38,,3,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,2,13,,48,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,22,39,,8,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,11,14,,1,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,5,40,,6,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,21,15,,43,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,1,16,,1,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,3,17,,1114,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,17,18,,2,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,19,19,,2,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,18,41,,4,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,20,20,,19,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,10,42,,3889,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,22,21,,8,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,21,43,,43,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,1,15,22,,4,2025-11-04 00:23:32
sync,1,1,1,THROUGHPUT,2,15,44,,4,2025-11-04 00:23:32
