io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,.647470629,600,2025-11-05 01:20:42
iouring,1,1,1,POWER,0,2,24,.091929796,100,2025-11-05 01:21:07
iouring,1,1,1,THROUGHPUT,R,1,45,.110762098,600,2025-11-05 01:21:07
iouring,1,1,1,THROUGHPUT,R,2,46,.072238926,100,2025-11-05 01:21:07
iouring,1,1,1,THROUGHPUT,R,1,47,.108313062,600,2025-11-05 01:21:08
iouring,1,1,1,THROUGHPUT,R,2,48,.085401546,100,2025-11-05 01:21:08
iouring,1,1,1,THROUGHPUT,R,1,49,.105739456,600,2025-11-05 01:21:08
iouring,1,1,1,THROUGHPUT,R,2,50,.074679463,100,2025-11-05 01:21:08
iouring,1,1,1,THROUGHPUT,R,1,51,.128325413,600,2025-11-05 01:21:08
iouring,1,1,1,THROUGHPUT,R,2,52,.069556154,100,2025-11-05 01:21:08
