io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
iouring,1,1,1,POWER,0,1,2,.040666472,1,2025-11-05 19:47:43
iouring,1,1,1,POWER,0,2,3,.316622044,447,2025-11-05 19:47:44
iouring,1,1,1,POWER,0,3,4,1.013412257,11447,2025-11-05 19:47:46
iouring,1,1,1,POWER,0,4,5,.159323742,6,2025-11-05 19:47:47
iouring,1,1,1,POWER,0,5,6,.203851992,6,2025-11-05 19:47:48
iouring,1,1,1,POWER,0,6,7,.892404181,2,2025-11-05 19:47:50
iouring,1,1,1,POWER,0,7,8,.742506628,5,2025-11-05 19:47:52
iouring,1,1,1,POWER,0,8,9,.359469149,3,2025-11-05 19:47:54
iouring,1,1,1,POWER,0,9,10,.612280946,176,2025-11-05 19:47:55
iouring,1,1,1,POWER,0,10,11,.536700214,38080,2025-11-05 19:47:57
iouring,1,1,1,POWER,0,11,12,.178742671,1,2025-11-05 19:47:58
iouring,1,1,1,POWER,0,12,13,.464639808,3,2025-11-05 19:47:59
iouring,1,1,1,POWER,0,13,14,.946338603,54,2025-11-05 19:48:01
iouring,1,1,1,POWER,0,14,15,.308634153,2,2025-11-05 19:48:03
iouring,1,1,1,POWER,0,15,16,.721250036,4,2025-11-05 19:48:04
iouring,1,1,1,POWER,0,16,17,.211890259,18403,2025-11-05 19:48:06
iouring,1,1,1,POWER,0,17,18,.088806926,2,2025-11-05 19:48:07
iouring,1,1,1,POWER,0,18,19,4.673581224,13,2025-11-05 19:48:12
iouring,1,1,1,POWER,0,19,20,.154133333,2,2025-11-05 19:48:14
iouring,1,1,1,POWER,0,20,21,.809738912,180,2025-11-05 19:48:15
iouring,1,1,1,POWER,0,21,22,.484299908,400,2025-11-05 19:48:17
iouring,1,1,1,POWER,0,22,23,.147634068,8,2025-11-05 19:48:18
iouring,1,1,1,THROUGHPUT,1,12,1,.471982607,3,2025-11-05 19:48:20
iouring,1,1,1,THROUGHPUT,1,1,2,.030915294,1,2025-11-05 19:48:20
iouring,1,1,1,THROUGHPUT,2,21,23,.606121909,400,2025-11-05 19:48:20
iouring,1,1,1,THROUGHPUT,2,17,24,.060881738,2,2025-11-05 19:48:20
iouring,1,1,1,THROUGHPUT,1,8,3,.254143579,3,2025-11-05 19:48:20
iouring,1,1,1,THROUGHPUT,2,5,25,.204873465,6,2025-11-05 19:48:20
iouring,1,1,1,THROUGHPUT,1,16,4,.200008413,18403,2025-11-05 19:48:21
iouring,1,1,1,THROUGHPUT,1,7,5,.387012810,5,2025-11-05 19:48:21
iouring,1,1,1,THROUGHPUT,2,10,26,.507718906,38080,2025-11-05 19:48:21
iouring,1,1,1,THROUGHPUT,2,9,27,.542571315,176,2025-11-05 19:48:21
iouring,1,1,1,THROUGHPUT,1,20,6,.585665357,180,2025-11-05 19:48:21
iouring,1,1,1,THROUGHPUT,1,5,7,.194424292,6,2025-11-05 19:48:22
iouring,1,1,1,THROUGHPUT,2,20,28,.431171201,180,2025-11-05 19:48:22
iouring,1,1,1,THROUGHPUT,1,3,8,.275699453,11447,2025-11-05 19:48:22
iouring,1,1,1,THROUGHPUT,2,4,29,.131099492,6,2025-11-05 19:48:22
iouring,1,1,1,THROUGHPUT,1,11,9,.164529835,1,2025-11-05 19:48:22
iouring,1,1,1,THROUGHPUT,2,14,30,.303425387,2,2025-11-05 19:48:22
iouring,1,1,1,THROUGHPUT,2,15,31,.693550028,4,2025-11-05 19:48:23
iouring,1,1,1,THROUGHPUT,1,13,10,1.219296038,54,2025-11-05 19:48:23
iouring,1,1,1,THROUGHPUT,1,22,11,.115416137,8,2025-11-05 19:48:24
iouring,1,1,1,THROUGHPUT,1,21,12,.493189556,400,2025-11-05 19:48:24
iouring,1,1,1,THROUGHPUT,2,13,32,1.236796754,54,2025-11-05 19:48:24
iouring,1,1,1,THROUGHPUT,1,9,13,.553537364,176,2025-11-05 19:48:25
iouring,1,1,1,THROUGHPUT,1,19,14,.090757333,2,2025-11-05 19:48:25
iouring,1,1,1,THROUGHPUT,2,3,33,.355802818,11447,2025-11-05 19:48:25
iouring,1,1,1,THROUGHPUT,2,18,34,4.094840972,13,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,1,18,15,4.105566127,13,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,2,22,35,.199943567,8,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,1,6,16,.261051900,2,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,1,4,17,.220131708,6,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,1,2,18,.078423310,447,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,2,12,36,.432098121,3,2025-11-05 19:48:29
iouring,1,1,1,THROUGHPUT,2,16,37,.180643040,18403,2025-11-05 19:48:30
iouring,1,1,1,THROUGHPUT,2,11,38,.143384445,1,2025-11-05 19:48:30
iouring,1,1,1,THROUGHPUT,1,10,19,.511341423,38080,2025-11-05 19:48:30
iouring,1,1,1,THROUGHPUT,1,17,20,.067855703,2,2025-11-05 19:48:30
iouring,1,1,1,THROUGHPUT,2,7,39,.353058929,5,2025-11-05 19:48:30
iouring,1,1,1,THROUGHPUT,2,2,40,.073250542,447,2025-11-05 19:48:30
iouring,1,1,1,THROUGHPUT,2,6,41,.327495017,2,2025-11-05 19:48:31
iouring,1,1,1,THROUGHPUT,2,1,42,.030450062,1,2025-11-05 19:48:31
iouring,1,1,1,THROUGHPUT,2,8,43,.238120922,3,2025-11-05 19:48:31
iouring,1,1,1,THROUGHPUT,2,19,44,.084918345,2,2025-11-05 19:48:31
iouring,1,1,1,THROUGHPUT,1,15,21,1.070399766,4,2025-11-05 19:48:31
iouring,1,1,1,THROUGHPUT,1,14,22,.277973195,2,2025-11-05 19:48:31
