io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,1.781988508,600,2025-11-04 23:50:51
iouring,1,1,1,POWER,0,2,24,.125073877,100,2025-11-04 23:51:18
iouring,1,1,1,THROUGHPUT,R,1,45,.459525063,600,2025-11-04 23:51:19
iouring,1,1,1,THROUGHPUT,R,2,46,.115450475,100,2025-11-04 23:51:19
iouring,1,1,1,THROUGHPUT,R,1,47,.839412567,600,2025-11-04 23:51:20
iouring,1,1,1,THROUGHPUT,R,2,48,.110501307,100,2025-11-04 23:51:20
iouring,1,1,1,THROUGHPUT,R,1,49,.453308993,600,2025-11-04 23:51:20
iouring,1,1,1,THROUGHPUT,R,2,50,.111423480,100,2025-11-04 23:51:20
iouring,1,1,1,THROUGHPUT,R,1,51,.810858949,600,2025-11-04 23:51:21
iouring,1,1,1,THROUGHPUT,R,2,52,.133776508,100,2025-11-04 23:51:21
