io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,16.179967514,600,2025-11-04 21:21:41
bgworkers,1,1,1,POWER,0,2,24,2.717189766,100,2025-11-04 21:29:17
bgworkers,1,1,1,THROUGHPUT,R,1,45,4.036101987,600,2025-11-04 21:29:21
bgworkers,1,1,1,THROUGHPUT,R,2,46,4.356238754,100,2025-11-04 21:29:26
bgworkers,1,1,1,THROUGHPUT,R,1,47,3.153882348,600,2025-11-04 21:29:29
bgworkers,1,1,1,THROUGHPUT,R,2,48,2.847276828,100,2025-11-04 21:29:32
bgworkers,1,1,1,THROUGHPUT,R,1,49,3.612793501,600,2025-11-04 21:29:35
bgworkers,1,1,1,THROUGHPUT,R,2,50,3.565071494,100,2025-11-04 21:29:39
bgworkers,1,1,1,THROUGHPUT,R,1,51,3.516955488,600,2025-11-04 21:29:43
bgworkers,1,1,1,THROUGHPUT,R,2,52,3.419299603,100,2025-11-04 21:29:46
