io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,16.577407875,600,2025-11-08 13:56:14
sync,1,1,1,POWER,0,2,24,3.509146521,100,2025-11-08 14:01:58
sync,1,1,1,THROUGHPUT,R,1,45,4.228523687,600,2025-11-08 14:02:02
sync,1,1,1,THROUGHPUT,R,2,46,3.597581907,100,2025-11-08 14:02:06
sync,1,1,1,THROUGHPUT,R,1,47,3.188704429,600,2025-11-08 14:02:09
sync,1,1,1,THROUGHPUT,R,2,48,3.230120822,100,2025-11-08 14:02:12
sync,1,1,1,THROUGHPUT,R,1,49,3.923114226,600,2025-11-08 14:02:16
sync,1,1,1,THROUGHPUT,R,2,50,3.285795250,100,2025-11-08 14:02:19
sync,1,1,1,THROUGHPUT,R,1,51,3.604481906,600,2025-11-08 14:02:23
sync,1,1,1,THROUGHPUT,R,2,52,2.738600043,100,2025-11-08 14:02:26
