io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
iouring,1,1,1,POWER,0,1,2,.065558410,1,2025-11-03 11:47:42
iouring,1,1,1,POWER,0,2,3,10.739461629,4566,2025-11-03 11:47:54
iouring,1,1,1,POWER,0,3,4,21.884039228,113952,2025-11-03 11:48:17
iouring,1,1,1,POWER,0,4,5,3.843063300,6,2025-11-03 11:48:21
iouring,1,1,1,POWER,0,5,6,4.085032864,6,2025-11-03 11:48:27
iouring,1,1,1,POWER,0,6,7,1.792758598,2,2025-11-03 11:48:29
iouring,1,1,1,POWER,0,7,8,2.967551452,5,2025-11-03 11:48:33
iouring,1,1,1,POWER,0,8,9,17.300330788,3,2025-11-03 11:48:52
iouring,1,1,1,POWER,0,9,10,13.823302018,176,2025-11-03 11:49:07
iouring,1,1,1,POWER,0,10,11,7.669441949,381871,2025-11-03 11:49:15
iouring,1,1,1,POWER,0,11,12,3.722961998,1,2025-11-03 11:49:20
iouring,1,1,1,POWER,0,12,13,3.046032022,3,2025-11-03 11:49:24
iouring,1,1,1,POWER,0,13,14,14.073424193,47,2025-11-03 11:49:39
iouring,1,1,1,POWER,0,14,15,3.310183437,2,2025-11-03 11:49:44
iouring,1,1,1,POWER,0,15,16,5.183236882,4,2025-11-03 11:49:50
iouring,1,1,1,POWER,0,16,17,3.026799776,27841,2025-11-03 11:49:54
iouring,1,1,1,POWER,0,17,18,.566238992,2,2025-11-03 11:49:55
iouring,1,1,1,POWER,0,18,19,28.708405666,103,2025-11-03 11:50:25
iouring,1,1,1,POWER,0,19,20,.694089010,2,2025-11-03 11:50:27
iouring,1,1,1,POWER,0,20,21,50.063915404,1788,2025-11-03 11:51:18
iouring,1,1,1,POWER,0,21,22,5.968454483,3949,2025-11-03 11:51:25
iouring,1,1,1,POWER,0,22,23,1.310751511,8,2025-11-03 11:51:27
iouring,1,1,1,THROUGHPUT,1,19,1,.584507713,2,2025-11-03 11:51:29
iouring,1,1,1,THROUGHPUT,2,7,23,4.473827880,5,2025-11-03 11:51:33
iouring,1,1,1,THROUGHPUT,2,19,24,.644685271,2,2025-11-03 11:51:34
iouring,1,1,1,THROUGHPUT,2,15,25,10.909196564,4,2025-11-03 11:51:45
iouring,1,1,1,THROUGHPUT,2,22,26,3.606169742,8,2025-11-03 11:51:48
iouring,1,1,1,THROUGHPUT,1,18,2,31.994355308,103,2025-11-03 11:52:01
iouring,1,1,1,THROUGHPUT,1,4,3,2.249521232,6,2025-11-03 11:52:03
iouring,1,1,1,THROUGHPUT,1,9,4,9.395693695,176,2025-11-03 11:52:13
iouring,1,1,1,THROUGHPUT,1,14,5,1.942494721,2,2025-11-03 11:52:15
iouring,1,1,1,THROUGHPUT,1,22,6,3.495667581,8,2025-11-03 11:52:18
iouring,1,1,1,THROUGHPUT,1,3,7,3.320763735,113952,2025-11-03 11:52:22
iouring,1,1,1,THROUGHPUT,2,18,27,37.713859201,103,2025-11-03 11:52:26
iouring,1,1,1,THROUGHPUT,1,10,8,7.224196732,381871,2025-11-03 11:52:29
iouring,1,1,1,THROUGHPUT,2,5,28,3.563501617,6,2025-11-03 11:52:30
iouring,1,1,1,THROUGHPUT,2,9,29,9.584422669,176,2025-11-03 11:52:39
