io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,.071442527,600,2025-11-02 23:21:52
sync,1,1,1,POWER,0,2,24,.066556589,100,2025-11-02 23:22:18
sync,1,1,1,THROUGHPUT,R,1,45,.061852193,600,2025-11-02 23:22:18
sync,1,1,1,THROUGHPUT,R,2,46,.059665500,100,2025-11-02 23:22:18
sync,1,1,1,THROUGHPUT,R,1,47,.059919821,600,2025-11-02 23:22:18
sync,1,1,1,THROUGHPUT,R,2,48,.061106119,100,2025-11-02 23:22:18
sync,1,1,1,THROUGHPUT,R,1,49,.059071428,600,2025-11-02 23:22:19
sync,1,1,1,THROUGHPUT,R,2,50,.059077830,100,2025-11-02 23:22:19
sync,1,1,1,THROUGHPUT,R,1,51,.058129705,600,2025-11-02 23:22:19
sync,1,1,1,THROUGHPUT,R,2,52,.058414247,100,2025-11-02 23:22:19
