io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,.175154421,600,2025-11-04 22:32:07
sync,1,1,1,POWER,0,2,24,.086576581,100,2025-11-04 22:32:32
sync,1,1,1,THROUGHPUT,R,1,45,.078308721,600,2025-11-04 22:32:32
sync,1,1,1,THROUGHPUT,R,2,46,.074566709,100,2025-11-04 22:32:32
sync,1,1,1,THROUGHPUT,R,1,47,.102190512,600,2025-11-04 22:32:32
sync,1,1,1,THROUGHPUT,R,2,48,.068049243,100,2025-11-04 22:32:32
sync,1,1,1,THROUGHPUT,R,1,49,.074613097,600,2025-11-04 22:32:33
sync,1,1,1,THROUGHPUT,R,2,50,.068046775,100,2025-11-04 22:32:33
sync,1,1,1,THROUGHPUT,R,1,51,.102091404,600,2025-11-04 22:32:33
sync,1,1,1,THROUGHPUT,R,2,52,.068947097,100,2025-11-04 22:32:33
