io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,1.670869736,600,2025-11-05 00:52:32
bgworkers,1,1,1,POWER,0,2,24,.131286039,100,2025-11-05 00:52:59
bgworkers,1,1,1,THROUGHPUT,R,1,45,.456996391,600,2025-11-05 00:53:00
bgworkers,1,1,1,THROUGHPUT,R,2,46,.112329100,100,2025-11-05 00:53:00
bgworkers,1,1,1,THROUGHPUT,R,1,47,.447350351,600,2025-11-05 00:53:00
bgworkers,1,1,1,THROUGHPUT,R,2,48,.111679217,100,2025-11-05 00:53:00
bgworkers,1,1,1,THROUGHPUT,R,1,49,.468671825,600,2025-11-05 00:53:01
bgworkers,1,1,1,THROUGHPUT,R,2,50,.113377077,100,2025-11-05 00:53:01
bgworkers,1,1,1,THROUGHPUT,R,1,51,.834361242,600,2025-11-05 00:53:02
bgworkers,1,1,1,THROUGHPUT,R,2,52,.110772154,100,2025-11-05 00:53:02
