io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,14,2,.389354844,2,2026-06-27 21:13:06
sync,1,1,1,POWER,0,2,3,.367910675,101,2026-06-27 21:13:06
sync,1,1,1,POWER,0,9,4,2.368316166,176,2026-06-27 21:13:08
sync,1,1,1,POWER,0,20,5,.545760040,174,2026-06-27 21:13:09
sync,1,1,1,POWER,0,6,6,.270297550,2,2026-06-27 21:13:09
sync,1,1,1,POWER,0,17,7,.650208220,2,2026-06-27 21:13:10
sync,1,1,1,POWER,0,18,8,2.355670509,10,2026-06-27 21:13:12
sync,1,1,1,POWER,0,8,9,.274321648,3,2026-06-27 21:13:12
sync,1,1,1,POWER,0,21,10,.504087260,101,2026-06-27 21:13:13
sync,1,1,1,POWER,0,13,11,.912449187,43,2026-06-27 21:13:14
sync,1,1,1,POWER,0,3,12,.451549047,11,2026-06-27 21:13:14
sync,1,1,1,POWER,0,22,13,.093978977,8,2026-06-27 21:13:14
sync,1,1,1,POWER,0,16,14,.203270653,18231,2026-06-27 21:13:15
sync,1,1,1,POWER,0,4,15,.140364261,6,2026-06-27 21:13:15
sync,1,1,1,POWER,0,11,16,.111679724,1063,2026-06-27 21:13:15
sync,1,1,1,POWER,0,15,17,.490700618,4,2026-06-27 21:13:15
sync,1,1,1,POWER,0,1,18,.039439991,1,2026-06-27 21:13:15
sync,1,1,1,POWER,0,10,19,.231928499,21,2026-06-27 21:13:16
sync,1,1,1,POWER,0,19,20,.078865080,2,2026-06-27 21:13:16
sync,1,1,1,POWER,0,5,21,.249764274,6,2026-06-27 21:13:16
sync,1,1,1,POWER,0,7,22,.628066397,5,2026-06-27 21:13:17
sync,1,1,1,POWER,0,12,23,.375094860,3,2026-06-27 21:13:17
sync,1,1,1,THROUGHPUT,2,6,23,.481302888,2,2026-06-27 21:13:18
sync,1,1,1,THROUGHPUT,1,21,1,.694355718,101,2026-06-27 21:13:18
sync,1,1,1,THROUGHPUT,1,3,2,.581076091,11,2026-06-27 21:13:19
sync,1,1,1,THROUGHPUT,2,17,24,.896749375,2,2026-06-27 21:13:19
sync,1,1,1,THROUGHPUT,2,14,25,.161095824,2,2026-06-27 21:13:19
sync,1,1,1,THROUGHPUT,2,16,26,.497112344,18334,2026-06-27 21:13:20
sync,1,1,1,THROUGHPUT,2,19,27,.243205805,2,2026-06-27 21:13:20
sync,1,1,1,THROUGHPUT,2,10,28,.416471986,21,2026-06-27 21:13:20
sync,1,1,1,THROUGHPUT,2,9,29,.967666802,176,2026-06-27 21:13:21
sync,1,1,1,THROUGHPUT,2,2,30,.329728866,101,2026-06-27 21:13:22
sync,1,1,1,THROUGHPUT,2,15,31,.651331798,4,2026-06-27 21:13:22
