io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,.070209284,600,2025-11-02 23:20:02
iouring,1,1,1,POWER,0,2,24,.067720635,100,2025-11-02 23:20:29
iouring,1,1,1,THROUGHPUT,R,1,45,.064269770,600,2025-11-02 23:20:29
iouring,1,1,1,THROUGHPUT,R,2,46,.068769786,100,2025-11-02 23:20:29
iouring,1,1,1,THROUGHPUT,R,1,47,.062062391,600,2025-11-02 23:20:29
iouring,1,1,1,THROUGHPUT,R,2,48,.061873871,100,2025-11-02 23:20:29
iouring,1,1,1,THROUGHPUT,R,1,49,.060275954,600,2025-11-02 23:20:29
iouring,1,1,1,THROUGHPUT,R,2,50,.058575343,100,2025-11-02 23:20:30
iouring,1,1,1,THROUGHPUT,R,1,51,.059080239,600,2025-11-02 23:20:30
iouring,1,1,1,THROUGHPUT,R,2,52,.063417956,100,2025-11-02 23:20:30
