io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,14,2,4.746340413,2,2026-06-25 22:55:06
sync,1,1,1,POWER,0,2,3,8.766679628,101,2026-06-25 22:55:15
sync,1,1,1,POWER,0,9,4,16.987429826,176,2026-06-25 22:55:32
sync,1,1,1,POWER,0,20,5,7.114482952,1752,2026-06-25 22:55:39
sync,1,1,1,POWER,0,6,6,2.790484767,2,2026-06-25 22:55:42
sync,1,1,1,POWER,0,17,7,8.595237616,2,2026-06-25 22:55:50
sync,1,1,1,POWER,0,18,8,24.160214452,100,2026-06-25 22:56:14
sync,1,1,1,POWER,0,8,9,2.244780444,3,2026-06-25 22:56:17
sync,1,1,1,POWER,0,21,10,5.342275802,101,2026-06-25 22:56:22
sync,1,1,1,POWER,0,13,11,13.313035252,47,2026-06-25 22:56:35
sync,1,1,1,POWER,0,3,12,5.129915532,11,2026-06-25 22:56:41
sync,1,1,1,POWER,0,22,13,.492367182,8,2026-06-25 22:56:41
sync,1,1,1,POWER,0,16,14,1.598486246,27840,2026-06-25 22:56:43
sync,1,1,1,POWER,0,4,15,1.399916636,6,2026-06-25 22:56:44
sync,1,1,1,POWER,0,11,16,1.019404064,9182,2026-06-25 22:56:45
sync,1,1,1,POWER,0,15,17,9.821324186,4,2026-06-25 22:56:55
sync,1,1,1,POWER,0,1,18,.038688441,1,2026-06-25 22:56:55
sync,1,1,1,POWER,0,10,19,2.818258025,21,2026-06-25 22:56:58
sync,1,1,1,POWER,0,19,20,.447733050,2,2026-06-25 22:56:58
sync,1,1,1,POWER,0,5,21,2.422139969,6,2026-06-25 22:57:01
sync,1,1,1,POWER,0,7,22,7.838983358,5,2026-06-25 22:57:09
sync,1,1,1,POWER,0,12,23,3.255001309,3,2026-06-25 22:57:12
sync,1,1,1,THROUGHPUT,3,8,45,2.426757557,3,2026-06-25 22:57:17
sync,1,1,1,THROUGHPUT,2,6,23,5.999661226,2,2026-06-25 22:57:20
sync,1,1,1,THROUGHPUT,3,5,46,4.661948509,6,2026-06-25 22:57:22
sync,1,1,1,THROUGHPUT,3,4,47,1.848581171,6,2026-06-25 22:57:23
sync,1,1,1,THROUGHPUT,3,6,48,3.690427458,2,2026-06-25 22:57:27
sync,1,1,1,THROUGHPUT,2,17,24,12.556531558,2,2026-06-25 22:57:33
sync,1,1,1,THROUGHPUT,2,14,25,2.569830402,2,2026-06-25 22:57:36
sync,1,1,1,THROUGHPUT,1,21,1,21.536197396,101,2026-06-25 22:57:36
sync,1,1,1,THROUGHPUT,2,16,26,2.584157401,27840,2026-06-25 22:57:38
sync,1,1,1,THROUGHPUT,2,19,27,.758046299,2,2026-06-25 22:57:39
sync,1,1,1,THROUGHPUT,3,17,49,13.065445122,2,2026-06-25 22:57:40
sync,1,1,1,THROUGHPUT,2,10,28,5.219665249,21,2026-06-25 22:57:44
sync,1,1,1,THROUGHPUT,1,3,2,8.843645065,11,2026-06-25 22:57:45
sync,1,1,1,THROUGHPUT,2,9,29,9.535756906,176,2026-06-25 22:57:54
sync,1,1,1,THROUGHPUT,2,2,30,4.077013368,101,2026-06-25 22:57:58
sync,1,1,1,THROUGHPUT,3,7,50,19.088219158,5,2026-06-25 22:57:59
sync,1,1,1,THROUGHPUT,3,1,51,.053891475,1,2026-06-25 22:57:59
sync,1,1,1,THROUGHPUT,2,15,31,12.711062654,4,2026-06-25 22:58:11
