io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,1,2,.070832586,1,2025-11-03 12:35:32
sync,1,1,1,POWER,0,2,3,.996611428,441,2025-11-03 12:35:34
sync,1,1,1,POWER,0,3,4,4.285385097,11616,2025-11-03 12:35:39
sync,1,1,1,POWER,0,4,5,.484326712,6,2025-11-03 12:35:41
sync,1,1,1,POWER,0,5,6,.543071634,6,2025-11-03 12:35:42
sync,1,1,1,POWER,0,6,7,.568274151,2,2025-11-03 12:35:44
sync,1,1,1,POWER,0,7,8,.726328871,5,2025-11-03 12:35:46
sync,1,1,1,POWER,0,8,9,1.133047473,3,2025-11-03 12:35:48
sync,1,1,1,POWER,0,9,10,2.716435744,176,2025-11-03 12:35:51
sync,1,1,1,POWER,0,10,11,1.285044327,38186,2025-11-03 12:35:54
sync,1,1,1,POWER,0,11,12,.466513567,515,2025-11-03 12:35:55
sync,1,1,1,POWER,0,12,13,.837191595,3,2025-11-03 12:35:57
sync,1,1,1,POWER,0,13,14,.837994334,43,2025-11-03 12:35:59
sync,1,1,1,POWER,0,14,15,.566906131,2,2025-11-03 12:36:01
sync,1,1,1,POWER,0,15,16,1.124931422,4,2025-11-03 12:36:03
sync,1,1,1,POWER,0,16,17,.484154731,18194,2025-11-03 12:36:04
sync,1,1,1,POWER,0,17,18,.130068948,2,2025-11-03 12:36:05
sync,1,1,1,POWER,0,18,19,3.217955349,13,2025-11-03 12:36:10
sync,1,1,1,POWER,0,19,20,.181264090,2,2025-11-03 12:36:11
sync,1,1,1,POWER,0,20,21,1.452302143,185,2025-11-03 12:36:13
sync,1,1,1,POWER,0,21,22,.885413905,384,2025-11-03 12:36:15
sync,1,1,1,POWER,0,22,23,.282427349,8,2025-11-03 12:36:17
sync,1,1,1,THROUGHPUT,1,1,1,.061591683,1,2025-11-03 12:36:18
sync,1,1,1,THROUGHPUT,2,22,23,.259890990,8,2025-11-03 12:36:18
