io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,123.540019271,224279,2026-06-25 17:35:20
sync,1,1,1,POWER,0,2,24,36.301587189,225566,2026-06-25 17:57:30
sync,1,1,1,THROUGHPUT,R,1,89,218.387791150,225215,2026-06-25 18:01:56
sync,1,1,1,THROUGHPUT,R,2,90,54.819347552,224161,2026-06-25 18:03:21
sync,1,1,1,THROUGHPUT,R,1,91,141.331906019,224994,2026-06-25 18:06:17
sync,1,1,1,THROUGHPUT,R,2,92,36.581056259,225685,2026-06-25 18:07:28
sync,1,1,1,THROUGHPUT,R,1,93,263.468323657,225101,2026-06-25 18:12:31
sync,1,1,1,THROUGHPUT,R,2,94,46.732467842,224998,2026-06-25 18:13:55
sync,1,1,1,THROUGHPUT,R,1,95,182.254847380,224352,2026-06-25 18:17:27
sync,1,1,1,THROUGHPUT,R,2,96,37.327975596,224958,2026-06-25 18:18:38
