io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,.073838947,600,2025-11-03 13:10:46
bgworkers,1,1,1,POWER,0,2,24,.074376191,100,2025-11-03 13:11:31
bgworkers,1,1,1,THROUGHPUT,R,1,45,.056224535,600,2025-11-03 13:11:31
bgworkers,1,1,1,THROUGHPUT,R,2,46,.060327186,100,2025-11-03 13:11:31
bgworkers,1,1,1,THROUGHPUT,R,1,47,.068371504,600,2025-11-03 13:11:32
bgworkers,1,1,1,THROUGHPUT,R,2,48,.060914880,100,2025-11-03 13:11:32
bgworkers,1,1,1,THROUGHPUT,R,1,49,.059718622,600,2025-11-03 13:11:32
bgworkers,1,1,1,THROUGHPUT,R,2,50,.060568600,100,2025-11-03 13:11:32
bgworkers,1,1,1,THROUGHPUT,R,1,51,.060477818,600,2025-11-03 13:11:32
bgworkers,1,1,1,THROUGHPUT,R,2,52,.059206453,100,2025-11-03 13:11:32
