io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,123.753374735,224279,2026-06-26 09:06:21
sync,1,1,1,POWER,0,2,24,36.372560254,225566,2026-06-26 09:28:30
sync,1,1,1,THROUGHPUT,R,1,89,263.254239400,225215,2026-06-26 09:33:51
sync,1,1,1,THROUGHPUT,R,2,90,38.088638545,224161,2026-06-26 09:35:02
sync,1,1,1,THROUGHPUT,R,1,91,168.816093504,224994,2026-06-26 09:38:23
sync,1,1,1,THROUGHPUT,R,2,92,38.372600180,225685,2026-06-26 09:39:56
sync,1,1,1,THROUGHPUT,R,1,93,115.809101141,225101,2026-06-26 09:42:23
sync,1,1,1,THROUGHPUT,R,2,94,39.918228854,224998,2026-06-26 09:43:49
sync,1,1,1,THROUGHPUT,R,1,95,172.382134204,224352,2026-06-26 09:47:15
sync,1,1,1,THROUGHPUT,R,2,96,48.898183878,224958,2026-06-26 09:48:45
