io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,.074756859,600,2025-11-03 12:06:14
sync,1,1,1,POWER,0,2,24,.065836580,100,2025-11-03 12:12:09
sync,1,1,1,THROUGHPUT,R,1,45,.064648846,600,2025-11-03 12:12:09
sync,1,1,1,THROUGHPUT,R,2,46,.064235923,100,2025-11-03 12:12:09
sync,1,1,1,THROUGHPUT,R,1,47,.059500938,600,2025-11-03 12:12:09
sync,1,1,1,THROUGHPUT,R,2,48,.060938290,100,2025-11-03 12:12:09
sync,1,1,1,THROUGHPUT,R,1,49,.060301986,600,2025-11-03 12:12:10
sync,1,1,1,THROUGHPUT,R,2,50,.060965135,100,2025-11-03 12:12:10
sync,1,1,1,THROUGHPUT,R,1,51,.062888914,600,2025-11-03 12:12:10
sync,1,1,1,THROUGHPUT,R,2,52,.063926052,100,2025-11-03 12:12:10
