io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
iouring,1,1,1,POWER,0,14,2,15.044794451,2,2026-06-27 07:22:29
iouring,1,1,1,POWER,0,2,3,10.798685534,101,2026-06-27 07:22:40
iouring,1,1,1,POWER,0,9,4,101.783584555,176,2026-06-27 07:24:22
iouring,1,1,1,POWER,0,20,5,113.840870120,5427,2026-06-27 07:26:16
iouring,1,1,1,POWER,0,6,6,27.107620379,2,2026-06-27 07:26:43
iouring,1,1,1,POWER,0,17,7,36.380753739,2,2026-06-27 07:27:19
iouring,1,1,1,POWER,0,18,8,113.333336657,101,2026-06-27 07:29:12
iouring,1,1,1,POWER,0,8,9,46.057425484,3,2026-06-27 07:29:59
iouring,1,1,1,POWER,0,21,10,97.118822612,101,2026-06-27 07:31:36
iouring,1,1,1,POWER,0,13,11,73.236044308,47,2026-06-27 07:32:49
iouring,1,1,1,POWER,0,3,12,45.125680674,11,2026-06-27 07:33:34
iouring,1,1,1,POWER,0,22,13,1.366286158,8,2026-06-27 07:33:35
iouring,1,1,1,POWER,0,16,14,13.979520314,27841,2026-06-27 07:33:49
iouring,1,1,1,POWER,0,4,15,44.280968144,6,2026-06-27 07:34:34
iouring,1,1,1,POWER,0,11,16,8.574589892,26090,2026-06-27 07:34:42
iouring,1,1,1,POWER,0,15,17,244.521096398,4,2026-06-27 07:38:47
iouring,1,1,1,POWER,0,1,18,.038861475,1,2026-06-27 07:38:47
iouring,1,1,1,POWER,0,10,19,48.450282457,21,2026-06-27 07:39:35
iouring,1,1,1,POWER,0,19,20,3.655467766,2,2026-06-27 07:39:39
iouring,1,1,1,POWER,0,5,21,44.823768874,6,2026-06-27 07:40:24
iouring,1,1,1,POWER,0,7,22,106.398440448,5,2026-06-27 07:42:10
iouring,1,1,1,POWER,0,12,23,34.588202940,3,2026-06-27 07:42:45
iouring,1,1,1,THROUGHPUT,2,6,23,44.828276506,2,2026-06-27 07:44:38
iouring,1,1,1,THROUGHPUT,4,5,67,61.948263773,6,2026-06-27 07:44:55
iouring,1,1,1,THROUGHPUT,2,17,24,62.278139485,2,2026-06-27 07:45:40
iouring,1,1,1,THROUGHPUT,2,14,25,41.098602274,2,2026-06-27 07:46:21
iouring,1,1,1,THROUGHPUT,2,16,26,17.391670429,27841,2026-06-27 07:46:39
iouring,1,1,1,THROUGHPUT,2,19,27,11.805192618,2,2026-06-27 07:46:51
iouring,1,1,1,THROUGHPUT,2,10,28,48.438153387,21,2026-06-27 07:47:39
iouring,1,1,1,THROUGHPUT,4,21,68,219.948645617,101,2026-06-27 07:48:35
iouring,1,1,1,THROUGHPUT,4,14,69,76.590724374,2,2026-06-27 07:49:52
iouring,1,1,1,THROUGHPUT,4,19,70,33.593385738,2,2026-06-27 07:50:25
iouring,1,1,1,THROUGHPUT,2,9,29,322.358400522,176,2026-06-27 07:53:01
iouring,1,1,1,THROUGHPUT,2,2,30,100.364317954,101,2026-06-27 07:54:42
iouring,1,1,1,THROUGHPUT,3,8,45,888.892295364,3,2026-06-27 07:58:42
iouring,1,1,1,THROUGHPUT,3,5,46,43.926994401,6,2026-06-27 07:59:26
iouring,1,1,1,THROUGHPUT,3,4,47,51.499000342,6,2026-06-27 08:00:18
iouring,1,1,1,THROUGHPUT,3,6,48,31.004974392,2,2026-06-27 08:00:49
iouring,1,1,1,THROUGHPUT,3,17,49,46.339759023,2,2026-06-27 08:01:35
iouring,1,1,1,THROUGHPUT,1,21,1,1114.282416796,101,2026-06-27 08:02:27
iouring,1,1,1,THROUGHPUT,1,3,2,99.735975452,11,2026-06-27 08:04:07
iouring,1,1,1,THROUGHPUT,1,18,3,126.172477925,101,2026-06-27 08:06:13
iouring,1,1,1,THROUGHPUT,1,5,4,46.740736795,6,2026-06-27 08:07:00
iouring,1,1,1,THROUGHPUT,1,11,5,11.611047450,27439,2026-06-27 08:07:12
iouring,1,1,1,THROUGHPUT,3,7,50,537.232971176,5,2026-06-27 08:10:32
iouring,1,1,1,THROUGHPUT,3,1,51,.044920135,1,2026-06-27 08:10:32
iouring,1,1,1,THROUGHPUT,3,18,52,118.382847139,101,2026-06-27 08:12:31
iouring,1,1,1,THROUGHPUT,3,22,53,2.836287579,8,2026-06-27 08:12:33
iouring,1,1,1,THROUGHPUT,1,7,6,328.139355290,5,2026-06-27 08:12:40
iouring,1,1,1,THROUGHPUT,1,6,7,27.252050903,2,2026-06-27 08:13:07
iouring,1,1,1,THROUGHPUT,3,14,54,43.567454640,2,2026-06-27 08:13:17
iouring,1,1,1,THROUGHPUT,3,9,55,125.997562410,176,2026-06-27 08:15:23
iouring,1,1,1,THROUGHPUT,3,10,56,39.817537636,21,2026-06-27 08:16:03
iouring,1,1,1,THROUGHPUT,1,20,8,187.458850711,5286,2026-06-27 08:16:15
iouring,1,1,1,THROUGHPUT,4,15,71,1549.942636355,4,2026-06-27 08:16:15
iouring,1,1,1,THROUGHPUT,2,15,31,1293.400495823,4,2026-06-27 08:16:15
iouring,1,1,1,THROUGHPUT,3,15,57,12.360836332,3,2026-06-27 08:16:15
iouring,1,1,1,THROUGHPUT,3,11,58,7.813067281,27697,2026-06-27 08:16:23
iouring,1,1,1,THROUGHPUT,1,17,9,52.274863008,2,2026-06-27 08:17:07
iouring,1,1,1,THROUGHPUT,4,17,72,52.525688561,2,2026-06-27 08:17:08
iouring,1,1,1,THROUGHPUT,1,12,10,44.524963970,3,2026-06-27 08:17:52
iouring,1,1,1,THROUGHPUT,4,12,73,46.463362105,3,2026-06-27 08:17:54
iouring,1,1,1,THROUGHPUT,4,6,74,34.167896067,2,2026-06-27 08:18:28
iouring,1,1,1,THROUGHPUT,1,16,11,39.622178994,27841,2026-06-27 08:18:31
iouring,1,1,1,THROUGHPUT,4,4,75,47.567301713,6,2026-06-27 08:19:16
iouring,1,1,1,THROUGHPUT,3,20,59,248.142492446,5382,2026-06-27 08:20:31
iouring,1,1,1,THROUGHPUT,3,2,60,13.269087592,101,2026-06-27 08:20:45
iouring,1,1,1,THROUGHPUT,4,9,76,173.551636763,176,2026-06-27 08:22:10
iouring,1,1,1,THROUGHPUT,4,8,77,88.180383050,3,2026-06-27 08:23:38
iouring,1,1,1,THROUGHPUT,4,16,78,16.622474742,27841,2026-06-27 08:23:54
iouring,1,1,1,THROUGHPUT,4,11,79,11.750201068,27370,2026-06-27 08:24:06
iouring,1,1,1,THROUGHPUT,4,2,80,17.047588763,101,2026-06-27 08:24:23
iouring,1,1,1,THROUGHPUT,3,21,61,229.839448229,101,2026-06-27 08:24:34
iouring,1,1,1,THROUGHPUT,4,10,81,41.274127979,21,2026-06-27 08:25:05
iouring,1,1,1,THROUGHPUT,3,19,62,31.135859376,2,2026-06-27 08:25:06
iouring,1,1,1,THROUGHPUT,2,8,32,575.301411402,3,2026-06-27 08:25:51
iouring,1,1,1,THROUGHPUT,2,5,33,49.567093673,6,2026-06-27 08:26:40
iouring,1,1,1,THROUGHPUT,2,22,34,3.974287418,8,2026-06-27 08:26:44
iouring,1,1,1,THROUGHPUT,2,12,35,45.153757090,3,2026-06-27 08:27:29
iouring,1,1,1,THROUGHPUT,4,18,82,184.414889254,101,2026-06-27 08:28:09
iouring,1,1,1,THROUGHPUT,4,1,83,.042921566,1,2026-06-27 08:28:09
iouring,1,1,1,THROUGHPUT,2,7,36,204.689157783,5,2026-06-27 08:30:54
iouring,1,1,1,THROUGHPUT,4,13,84,236.685485289,46,2026-06-27 08:32:06
