io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,123.807313371,224279,2026-06-26 12:36:13
bgworkers,1,1,1,POWER,0,2,24,35.619523357,225566,2026-06-26 12:58:14
bgworkers,1,1,1,THROUGHPUT,R,1,89,273.161021427,225215,2026-06-26 13:03:30
bgworkers,1,1,1,THROUGHPUT,R,2,90,40.930321649,224161,2026-06-26 13:04:50
bgworkers,1,1,1,THROUGHPUT,R,1,91,219.734131741,224994,2026-06-26 13:09:17
bgworkers,1,1,1,THROUGHPUT,R,2,92,67.476988290,225685,2026-06-26 13:10:56
bgworkers,1,1,1,THROUGHPUT,R,1,93,181.563546263,225101,2026-06-26 13:14:42
bgworkers,1,1,1,THROUGHPUT,R,2,94,49.520029529,224998,2026-06-26 13:16:13
bgworkers,1,1,1,THROUGHPUT,R,1,95,219.914089733,224352,2026-06-26 13:20:50
bgworkers,1,1,1,THROUGHPUT,R,2,96,59.065187464,224958,2026-06-26 13:22:32
