io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,1.169448812,600,2025-11-08 15:23:30
iouring,1,1,1,POWER,0,2,24,.117278691,100,2025-11-08 15:23:58
iouring,1,1,1,THROUGHPUT,R,1,45,.766516178,600,2025-11-08 15:23:58
iouring,1,1,1,THROUGHPUT,R,2,46,.106737858,100,2025-11-08 15:23:58
iouring,1,1,1,THROUGHPUT,R,1,47,.442668932,600,2025-11-08 15:23:59
iouring,1,1,1,THROUGHPUT,R,2,48,.095700275,100,2025-11-08 15:23:59
iouring,1,1,1,THROUGHPUT,R,1,49,.434923371,600,2025-11-08 15:23:59
iouring,1,1,1,THROUGHPUT,R,2,50,.104661406,100,2025-11-08 15:24:00
iouring,1,1,1,THROUGHPUT,R,1,51,.447351814,600,2025-11-08 15:24:00
iouring,1,1,1,THROUGHPUT,R,2,52,.104362670,100,2025-11-08 15:24:00
