io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
sync,1,1,1,POWER,0,1,1,48.296887232,600,2025-11-10 06:42:19
sync,1,1,1,POWER,0,2,24,16.749311522,100,2025-11-10 07:51:52
sync,1,1,1,THROUGHPUT,R,1,45,23.186585082,600,2025-11-10 07:52:15
sync,1,1,1,THROUGHPUT,R,2,46,38.847662815,100,2025-11-10 07:52:54
sync,1,1,1,THROUGHPUT,R,1,47,33.727698980,600,2025-11-10 07:53:28
sync,1,1,1,THROUGHPUT,R,2,48,33.535685395,100,2025-11-10 07:54:01
sync,1,1,1,THROUGHPUT,R,1,49,27.820183844,600,2025-11-10 07:54:29
sync,1,1,1,THROUGHPUT,R,2,50,26.619402282,100,2025-11-10 07:54:56
sync,1,1,1,THROUGHPUT,R,1,51,16.881286584,600,2025-11-10 07:55:13
sync,1,1,1,THROUGHPUT,R,2,52,36.922337465,100,2025-11-10 07:55:49
