io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,26.237764721,600,2025-11-08 17:39:22
iouring,1,1,1,POWER,0,2,24,.654968586,100,2025-11-08 17:40:10
iouring,1,1,1,THROUGHPUT,R,1,45,10.488186521,600,2025-11-08 17:40:21
iouring,1,1,1,THROUGHPUT,R,2,46,.627000280,100,2025-11-08 17:40:22
iouring,1,1,1,THROUGHPUT,R,1,47,10.216793519,600,2025-11-08 17:40:32
iouring,1,1,1,THROUGHPUT,R,2,48,.442667031,100,2025-11-08 17:40:32
iouring,1,1,1,THROUGHPUT,R,1,49,4.091678140,600,2025-11-08 17:40:36
iouring,1,1,1,THROUGHPUT,R,2,50,.590893101,100,2025-11-08 17:40:37
iouring,1,1,1,THROUGHPUT,R,1,51,6.573871927,600,2025-11-08 17:40:44
iouring,1,1,1,THROUGHPUT,R,2,52,.612494170,100,2025-11-08 17:40:44
