io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,.283849387,600,2025-10-31 02:11:33
iouring,1,1,1,POWER,0,2,24,.074496147,100,2025-10-31 02:12:25
iouring,1,1,1,THROUGHPUT,R,1,45,.084927229,600,2025-10-31 02:12:25
iouring,1,1,1,THROUGHPUT,R,2,46,.064970337,100,2025-10-31 02:12:25
iouring,1,1,1,THROUGHPUT,R,1,47,.083991785,600,2025-10-31 02:12:25
iouring,1,1,1,THROUGHPUT,R,2,48,.071579450,100,2025-10-31 02:12:25
iouring,1,1,1,THROUGHPUT,R,1,49,.076518365,600,2025-10-31 02:12:25
iouring,1,1,1,THROUGHPUT,R,2,50,.069525294,100,2025-10-31 02:12:26
iouring,1,1,1,THROUGHPUT,R,1,51,.074489409,600,2025-10-31 02:12:26
iouring,1,1,1,THROUGHPUT,R,2,52,.046604123,100,2025-10-31 02:12:26
