io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,14,2,9.444235999,2,2026-06-19 13:57:56
sync,1,1,1,POWER,0,18,3,15.418456936,10,2026-06-19 13:58:12
sync,1,1,1,POWER,0,20,4,5.327938706,174,2026-06-19 13:58:17
sync,1,1,1,POWER,0,12,5,1.050186677,3,2026-06-19 13:58:18
sync,1,1,1,POWER,0,13,6,.948712226,43,2026-06-19 13:58:19
sync,1,1,1,POWER,0,9,7,4.414750066,176,2026-06-19 13:58:24
sync,1,1,1,POWER,0,6,8,.991642134,2,2026-06-19 13:58:25
sync,1,1,1,POWER,0,5,9,1.076245639,6,2026-06-19 13:58:26
sync,1,1,1,POWER,0,16,10,.565648805,18231,2026-06-19 13:58:27
sync,1,1,1,POWER,0,8,11,1.155802484,3,2026-06-19 13:58:28
sync,1,1,1,POWER,0,1,12,.203248413,1,2026-06-19 13:58:28
sync,1,1,1,POWER,0,17,13,1.465443295,2,2026-06-19 13:58:30
sync,1,1,1,POWER,0,22,14,.241445739,8,2026-06-19 13:58:30
sync,1,1,1,POWER,0,7,15,5.907539504,5,2026-06-19 13:58:36
sync,1,1,1,POWER,0,2,16,.532828130,101,2026-06-19 13:58:37
sync,1,1,1,POWER,0,4,17,.462955827,6,2026-06-19 13:58:37
sync,1,1,1,POWER,0,19,18,.224622979,2,2026-06-19 13:58:37
sync,1,1,1,POWER,0,10,19,1.037253227,21,2026-06-19 13:58:38
sync,1,1,1,POWER,0,21,20,3.524236846,101,2026-06-19 13:58:42
sync,1,1,1,POWER,0,15,21,1.638031231,4,2026-06-19 13:58:44
sync,1,1,1,POWER,0,3,22,.929654898,11,2026-06-19 13:58:45
sync,1,1,1,POWER,0,11,23,.307542761,1063,2026-06-19 13:58:45
sync,1,1,1,THROUGHPUT,1,22,1,.296551303,8,2026-06-19 13:58:47
sync,1,1,1,THROUGHPUT,1,19,2,.300835208,2,2026-06-19 13:58:47
sync,1,1,1,THROUGHPUT,2,6,23,.934021891,2,2026-06-19 13:58:47
sync,1,1,1,THROUGHPUT,2,2,24,.633720903,101,2026-06-19 13:58:48
sync,1,1,1,THROUGHPUT,2,8,25,.780083035,3,2026-06-19 13:58:49
sync,1,1,1,THROUGHPUT,2,12,26,1.122011562,3,2026-06-19 13:58:50
sync,1,1,1,THROUGHPUT,2,16,27,.670505695,18334,2026-06-19 13:58:51
sync,1,1,1,THROUGHPUT,2,14,28,.557490769,2,2026-06-19 13:58:52
sync,1,1,1,THROUGHPUT,1,18,3,4.785166266,10,2026-06-19 13:58:52
sync,1,1,1,THROUGHPUT,2,3,29,1.259423184,11,2026-06-19 13:58:53
sync,1,1,1,THROUGHPUT,2,10,30,1.283853084,21,2026-06-19 13:58:54
sync,1,1,1,THROUGHPUT,1,9,4,2.393167322,176,2026-06-19 13:58:55
sync,1,1,1,THROUGHPUT,1,21,5,4.185866715,101,2026-06-19 13:58:59
sync,1,1,1,THROUGHPUT,2,18,31,4.292961343,11,2026-06-19 13:58:59
sync,1,1,1,THROUGHPUT,1,11,6,.286391081,1090,2026-06-19 13:58:59
sync,1,1,1,THROUGHPUT,2,11,32,.295299915,515,2026-06-19 13:58:59
sync,1,1,1,THROUGHPUT,1,16,7,.512918082,18316,2026-06-19 13:59:00
sync,1,1,1,THROUGHPUT,1,17,8,1.808350472,2,2026-06-19 13:59:02
sync,1,1,1,THROUGHPUT,1,2,9,.677462639,101,2026-06-19 13:59:02
sync,1,1,1,THROUGHPUT,2,21,33,3.768866843,101,2026-06-19 13:59:03
sync,1,1,1,THROUGHPUT,1,13,10,1.143858863,43,2026-06-19 13:59:04
sync,1,1,1,THROUGHPUT,2,5,34,1.099847412,6,2026-06-19 13:59:04
sync,1,1,1,THROUGHPUT,1,10,11,1.087569197,21,2026-06-19 13:59:05
sync,1,1,1,THROUGHPUT,1,5,12,1.105293571,6,2026-06-19 13:59:06
sync,1,1,1,THROUGHPUT,2,17,35,2.073577051,2,2026-06-19 13:59:06
sync,1,1,1,THROUGHPUT,2,19,36,.314919237,2,2026-06-19 13:59:07
sync,1,1,1,THROUGHPUT,2,20,37,1.515005408,181,2026-06-19 13:59:08
sync,1,1,1,THROUGHPUT,2,9,38,2.210238673,176,2026-06-19 13:59:11
sync,1,1,1,THROUGHPUT,2,13,39,1.002616235,43,2026-06-19 13:59:12
sync,1,1,1,THROUGHPUT,1,7,13,5.942840891,5,2026-06-19 13:59:12
sync,1,1,1,THROUGHPUT,2,4,40,.522061104,6,2026-06-19 13:59:12
sync,1,1,1,THROUGHPUT,1,20,14,1.526035859,165,2026-06-19 13:59:14
sync,1,1,1,THROUGHPUT,2,15,41,1.310531055,4,2026-06-19 13:59:14
sync,1,1,1,THROUGHPUT,1,1,15,.112454262,1,2026-06-19 13:59:14
sync,1,1,1,THROUGHPUT,2,1,42,.096967500,1,2026-06-19 13:59:14
sync,1,1,1,THROUGHPUT,2,22,43,.261247061,8,2026-06-19 13:59:14
sync,1,1,1,THROUGHPUT,1,8,16,.579167921,3,2026-06-19 13:59:14
sync,1,1,1,THROUGHPUT,1,4,17,.513092250,6,2026-06-19 13:59:15
sync,1,1,1,THROUGHPUT,1,15,18,1.377095792,4,2026-06-19 13:59:16
sync,1,1,1,THROUGHPUT,1,12,19,.986350910,3,2026-06-19 13:59:18
sync,1,1,1,THROUGHPUT,1,3,20,.967692487,11,2026-06-19 13:59:19
sync,1,1,1,THROUGHPUT,1,14,21,.501718941,2,2026-06-19 13:59:19
sync,1,1,1,THROUGHPUT,1,6,22,.925280143,2,2026-06-19 13:59:20
sync,1,1,1,THROUGHPUT,2,7,44,6.446327700,5,2026-06-19 13:59:21
