io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,123.688449960,224279,2026-06-27 23:23:24
bgworkers,1,1,1,POWER,0,2,24,35.575989258,225566,2026-06-27 23:45:22
bgworkers,1,1,1,THROUGHPUT,R,1,89,270.672530020,225215,2026-06-27 23:50:38
bgworkers,1,1,1,THROUGHPUT,R,2,90,50.048598968,224161,2026-06-27 23:52:06
bgworkers,1,1,1,THROUGHPUT,R,1,91,196.456103241,224994,2026-06-27 23:55:59
bgworkers,1,1,1,THROUGHPUT,R,2,92,46.243810888,225685,2026-06-27 23:57:36
bgworkers,1,1,1,THROUGHPUT,R,1,93,168.655764898,225101,2026-06-28 00:01:11
bgworkers,1,1,1,THROUGHPUT,R,2,94,49.970249482,224998,2026-06-28 00:02:39
bgworkers,1,1,1,THROUGHPUT,R,1,95,144.751135663,224352,2026-06-28 00:05:47
bgworkers,1,1,1,THROUGHPUT,R,2,96,39.240880083,224958,2026-06-28 00:07:02
