io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
iouring,1,1,1,POWER,0,1,2,.065950367,1,2025-11-03 13:15:32
iouring,1,1,1,POWER,0,2,3,1.068478811,441,2025-11-03 13:15:34
iouring,1,1,1,POWER,0,3,4,3.636963039,11616,2025-11-03 13:15:39
iouring,1,1,1,POWER,0,4,5,.305854381,6,2025-11-03 13:15:40
iouring,1,1,1,POWER,0,5,6,.337047236,6,2025-11-03 13:15:41
iouring,1,1,1,POWER,0,6,7,.413338309,2,2025-11-03 13:15:43
iouring,1,1,1,POWER,0,7,8,.534248755,5,2025-11-03 13:15:44
iouring,1,1,1,POWER,0,8,9,1.059643856,3,2025-11-03 13:15:46
iouring,1,1,1,POWER,0,9,10,2.004022118,176,2025-11-03 13:15:49
iouring,1,1,1,POWER,0,10,11,.981024299,38186,2025-11-03 13:15:51
iouring,1,1,1,POWER,0,11,12,.748843248,515,2025-11-03 13:15:53
iouring,1,1,1,POWER,0,12,13,.583174484,3,2025-11-03 13:15:55
iouring,1,1,1,POWER,0,13,14,1.547569542,43,2025-11-03 13:15:57
iouring,1,1,1,POWER,0,14,15,2.579239050,2,2025-11-03 13:16:01
iouring,1,1,1,POWER,0,15,16,.754440612,4,2025-11-03 13:16:03
iouring,1,1,1,POWER,0,16,17,.293964597,18194,2025-11-03 13:16:04
iouring,1,1,1,POWER,0,17,18,.089996419,2,2025-11-03 13:16:05
iouring,1,1,1,POWER,0,18,19,2.833939474,13,2025-11-03 13:16:09
iouring,1,1,1,POWER,0,19,20,.118900026,2,2025-11-03 13:16:10
iouring,1,1,1,POWER,0,20,21,.550019434,185,2025-11-03 13:16:12
iouring,1,1,1,POWER,0,21,22,.513832421,384,2025-11-03 13:16:13
iouring,1,1,1,POWER,0,22,23,.283619211,8,2025-11-03 13:16:15
iouring,1,1,1,THROUGHPUT,2,4,23,.256803321,6,2025-11-03 13:16:16
iouring,1,1,1,THROUGHPUT,2,19,24,.124536427,2,2025-11-03 13:16:16
iouring,1,1,1,THROUGHPUT,2,15,25,1.687187893,4,2025-11-03 13:16:18
iouring,1,1,1,THROUGHPUT,1,18,1,2.912774614,13,2025-11-03 13:16:19
