io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,1737.674947416,75092,2026-06-19 18:37:48
iouring,1,1,1,POWER,0,2,24,3.407780423,75175,2026-06-19 18:47:23
iouring,1,1,1,THROUGHPUT,R,1,67,160.566863325,74617,2026-06-19 18:50:32
iouring,1,1,1,THROUGHPUT,R,2,68,12.723525194,75340,2026-06-19 18:50:49
iouring,1,1,1,THROUGHPUT,R,1,69,266.970007852,75274,2026-06-19 18:55:29
iouring,1,1,1,THROUGHPUT,R,2,70,5.238655739,75051,2026-06-19 18:55:37
iouring,1,1,1,THROUGHPUT,R,1,71,328.144590895,74827,2026-06-19 19:01:10
iouring,1,1,1,THROUGHPUT,R,2,72,3.392980001,74726,2026-06-19 19:01:16
