io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
iouring,1,1,1,POWER,0,1,1,123.881049240,224279,2026-06-27 07:22:14
iouring,1,1,1,POWER,0,2,24,35.495105538,225566,2026-06-27 07:43:53
iouring,1,1,1,THROUGHPUT,R,1,89,287.259264074,225215,2026-06-27 07:49:13
iouring,1,1,1,THROUGHPUT,R,2,90,37.237857861,224161,2026-06-27 07:50:25
iouring,1,1,1,THROUGHPUT,R,1,91,144.366648983,224994,2026-06-27 07:53:27
iouring,1,1,1,THROUGHPUT,R,2,92,33.654343478,225685,2026-06-27 07:54:32
iouring,1,1,1,THROUGHPUT,R,1,93,108.143614680,225101,2026-06-27 07:56:48
iouring,1,1,1,THROUGHPUT,R,2,94,32.189402664,224998,2026-06-27 07:57:50
iouring,1,1,1,THROUGHPUT,R,1,95,242.425761805,224352,2026-06-27 08:02:26
iouring,1,1,1,THROUGHPUT,R,2,96,39.549045305,224958,2026-06-27 08:03:42
