io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,query_number,execution_order,execution_time_seconds,row_count,timestamp
sync,1,1,1,POWER,0,14,2,.301351779,2,2026-06-26 12:13:37
sync,1,1,1,POWER,0,2,3,.380971294,101,2026-06-26 12:13:37
sync,1,1,1,POWER,0,9,4,2.481239680,176,2026-06-26 12:13:40
sync,1,1,1,POWER,0,20,5,.545575173,174,2026-06-26 12:13:40
sync,1,1,1,POWER,0,6,6,.270688414,2,2026-06-26 12:13:41
sync,1,1,1,POWER,0,17,7,.644020482,2,2026-06-26 12:13:41
sync,1,1,1,POWER,0,18,8,2.358699609,10,2026-06-26 12:13:44
sync,1,1,1,POWER,0,8,9,.280693309,3,2026-06-26 12:13:44
sync,1,1,1,POWER,0,21,10,.490438110,101,2026-06-26 12:13:44
sync,1,1,1,POWER,0,13,11,.943457111,43,2026-06-26 12:13:45
sync,1,1,1,POWER,0,3,12,.454259909,11,2026-06-26 12:13:46
sync,1,1,1,POWER,0,22,13,.093758276,8,2026-06-26 12:13:46
sync,1,1,1,POWER,0,16,14,.205641703,18231,2026-06-26 12:13:46
sync,1,1,1,POWER,0,4,15,.138903094,6,2026-06-26 12:13:46
sync,1,1,1,POWER,0,11,16,.111718062,1063,2026-06-26 12:13:46
sync,1,1,1,POWER,0,15,17,.496044937,4,2026-06-26 12:13:47
sync,1,1,1,POWER,0,1,18,.039215114,1,2026-06-26 12:13:47
sync,1,1,1,POWER,0,10,19,.236366578,21,2026-06-26 12:13:47
sync,1,1,1,POWER,0,19,20,.081106135,2,2026-06-26 12:13:47
sync,1,1,1,POWER,0,5,21,.267481491,6,2026-06-26 12:13:48
sync,1,1,1,POWER,0,7,22,.636103018,5,2026-06-26 12:13:48
sync,1,1,1,POWER,0,12,23,.375071684,3,2026-06-26 12:13:49
sync,1,1,1,THROUGHPUT,2,6,23,.499494041,2,2026-06-26 12:13:50
sync,1,1,1,THROUGHPUT,1,21,1,.656557977,101,2026-06-26 12:13:50
sync,1,1,1,THROUGHPUT,1,3,2,.568861019,11,2026-06-26 12:13:50
sync,1,1,1,THROUGHPUT,2,17,24,.882822725,2,2026-06-26 12:13:51
sync,1,1,1,THROUGHPUT,2,14,25,.154452321,2,2026-06-26 12:13:51
sync,1,1,1,THROUGHPUT,2,16,26,.574752975,18334,2026-06-26 12:13:51
sync,1,1,1,THROUGHPUT,2,19,27,.154717883,2,2026-06-26 12:13:51
sync,1,1,1,THROUGHPUT,2,10,28,.404634720,21,2026-06-26 12:13:52
sync,1,1,1,THROUGHPUT,2,9,29,.828938583,176,2026-06-26 12:13:53
sync,1,1,1,THROUGHPUT,2,2,30,.389040205,101,2026-06-26 12:13:53
sync,1,1,1,THROUGHPUT,2,15,31,.647128665,4,2026-06-26 12:13:54
sync,1,1,1,THROUGHPUT,2,8,32,.166740700,3,2026-06-26 12:13:54
sync,1,1,1,THROUGHPUT,1,18,3,3.665728267,10,2026-06-26 12:13:54
sync,1,1,1,THROUGHPUT,2,5,33,.286805148,6,2026-06-26 12:13:54
sync,1,1,1,THROUGHPUT,1,5,4,.293517722,6,2026-06-26 12:13:54
sync,1,1,1,THROUGHPUT,2,22,34,.098154305,8,2026-06-26 12:13:54
sync,1,1,1,THROUGHPUT,1,11,5,.212894248,1090,2026-06-26 12:13:55
sync,1,1,1,THROUGHPUT,2,12,35,.445072519,3,2026-06-26 12:13:55
sync,1,1,1,THROUGHPUT,1,7,6,.718793292,5,2026-06-26 12:13:55
sync,1,1,1,THROUGHPUT,2,7,36,.714828507,5,2026-06-26 12:13:56
sync,1,1,1,THROUGHPUT,1,6,7,.287178601,2,2026-06-26 12:13:56
sync,1,1,1,THROUGHPUT,1,20,8,.516852072,165,2026-06-26 12:13:56
sync,1,1,1,THROUGHPUT,2,13,37,1.185012376,43,2026-06-26 12:13:57
sync,1,1,1,THROUGHPUT,1,17,9,.699192292,2,2026-06-26 12:13:57
sync,1,1,1,THROUGHPUT,1,12,10,.512070669,3,2026-06-26 12:13:57
sync,1,1,1,THROUGHPUT,1,16,11,.306721499,18316,2026-06-26 12:13:58
sync,1,1,1,THROUGHPUT,1,15,12,.493135820,4,2026-06-26 12:13:58
sync,1,1,1,THROUGHPUT,1,13,13,1.049510554,43,2026-06-26 12:13:59
sync,1,1,1,THROUGHPUT,1,10,14,.288718089,21,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,1,2,15,.228373115,101,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,2,18,38,3.150896193,11,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,2,1,39,.042222643,1,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,1,8,16,.169278564,3,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,2,4,40,.169110485,6,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,1,14,17,.180014991,2,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,1,19,18,.079282434,2,2026-06-26 12:14:00
sync,1,1,1,THROUGHPUT,2,20,41,.529099230,181,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,1,9,19,.583427128,176,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,1,22,20,.102170070,8,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,1,1,21,.034325002,1,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,1,4,22,.165307784,6,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,2,3,42,.579135536,11,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,2,11,43,.112487309,515,2026-06-26 12:14:01
sync,1,1,1,THROUGHPUT,2,21,44,.510255955,101,2026-06-26 12:14:02
