io_method,iteration,run_in_iteration,global_run_id,test_type,stream_id,refresh_number,execution_order,execution_time_seconds,rows_affected,timestamp
bgworkers,1,1,1,POWER,0,1,1,123.344452721,224279,2026-06-25 12:30:13
bgworkers,1,1,1,POWER,0,2,24,35.535520317,225566,2026-06-25 12:52:08
bgworkers,1,1,1,THROUGHPUT,R,1,89,224.225150373,225215,2026-06-25 12:56:55
bgworkers,1,1,1,THROUGHPUT,R,2,90,43.341993932,224161,2026-06-25 12:58:11
bgworkers,1,1,1,THROUGHPUT,R,1,91,145.518909793,224994,2026-06-25 13:01:16
bgworkers,1,1,1,THROUGHPUT,R,2,92,36.019483804,225685,2026-06-25 13:02:26
bgworkers,1,1,1,THROUGHPUT,R,1,93,193.228106861,225101,2026-06-25 13:06:29
bgworkers,1,1,1,THROUGHPUT,R,2,94,50.046516464,224998,2026-06-25 13:07:55
bgworkers,1,1,1,THROUGHPUT,R,1,95,199.780437027,224352,2026-06-25 13:11:56
bgworkers,1,1,1,THROUGHPUT,R,2,96,44.757931322,224958,2026-06-25 13:13:24
