query_number,iteration,execution_order,execution_time_seconds,status,row_count,timestamp
13,5,99,.726659,SUCCESS,39,2025-10-12 23:36:55
16,5,100,.340306,SUCCESS,2764,2025-10-12 23:36:57
9,5,101,.928050,SUCCESS,177,2025-10-12 23:36:59
1,5,102,1.676627,SUCCESS,6,2025-10-12 23:37:03
17,5,103,.574196,SUCCESS,3,2025-10-12 23:37:05
21,5,104,.509299,SUCCESS,49,2025-10-12 23:37:06
22,5,105,.137365,SUCCESS,9,2025-10-12 23:37:07
18,5,106,2.665589,SUCCESS,7,2025-10-12 23:37:13
14,5,107,.143652,SUCCESS,3,2025-10-12 23:37:14
11,5,108,.206212,SUCCESS,2543,2025-10-12 23:37:15
8,5,109,.332039,SUCCESS,4,2025-10-12 23:37:16
6,5,110,.221336,SUCCESS,3,2025-10-12 23:37:17
5,6,111,.218131,SUCCESS,7,2025-10-12 23:37:18
17,6,112,.631017,SUCCESS,3,2025-10-12 23:37:20
16,6,113,.338465,SUCCESS,2764,2025-10-12 23:37:22
7,6,114,.463938,SUCCESS,6,2025-10-12 23:37:23
21,6,115,.494749,SUCCESS,49,2025-10-12 23:37:25
4,6,116,.322696,SUCCESS,7,2025-10-12 23:37:26
11,6,117,.223383,SUCCESS,2543,2025-10-12 23:37:27
13,6,118,.734309,SUCCESS,39,2025-10-12 23:37:29
3,6,119,.425549,SUCCESS,12,2025-10-12 23:37:31
19,6,120,.083820,SUCCESS,3,2025-10-12 23:37:31
20,6,121,.466417,SUCCESS,11,2025-10-12 23:37:33
10,6,122,.466539,SUCCESS,22,2025-10-12 23:37:34
9,6,123,.936089,SUCCESS,177,2025-10-12 23:37:37
14,6,124,.152096,SUCCESS,3,2025-10-12 23:37:38
8,6,125,.344640,SUCCESS,4,2025-10-12 23:37:39
12,6,126,.601776,SUCCESS,4,2025-10-12 23:37:41
22,6,127,.137439,SUCCESS,9,2025-10-12 23:37:42
6,6,128,.198529,SUCCESS,3,2025-10-12 23:37:43
1,6,129,1.688547,SUCCESS,6,2025-10-12 23:37:47
18,6,130,2.607225,SUCCESS,7,2025-10-12 23:37:52
2,6,131,.220833,SUCCESS,46,2025-10-12 23:37:53
15,6,132,.192013,SUCCESS,3,2025-10-12 23:37:54
21,7,133,.555225,SUCCESS,49,2025-10-12 23:37:56
22,7,134,.135998,SUCCESS,9,2025-10-12 23:37:57
1,7,135,1.686585,SUCCESS,6,2025-10-12 23:38:01
16,7,136,.339474,SUCCESS,2764,2025-10-12 23:38:02
7,7,137,.463876,SUCCESS,6,2025-10-12 23:38:04
5,7,138,.210533,SUCCESS,7,2025-10-12 23:38:05
3,7,139,.361120,SUCCESS,12,2025-10-12 23:38:06
6,7,140,.186880,SUCCESS,3,2025-10-12 23:38:07
13,7,141,.710738,SUCCESS,39,2025-10-12 23:38:09
8,7,142,.305135,SUCCESS,4,2025-10-12 23:38:10
12,7,143,.592622,SUCCESS,4,2025-10-12 23:38:12
2,7,144,.220192,SUCCESS,46,2025-10-12 23:38:13
10,7,145,.463814,SUCCESS,22,2025-10-12 23:38:15
4,7,146,.342228,SUCCESS,7,2025-10-12 23:38:16
18,7,147,2.633228,SUCCESS,7,2025-10-12 23:38:22
11,7,148,.212823,SUCCESS,2543,2025-10-12 23:38:23
17,7,149,.649115,SUCCESS,3,2025-10-12 23:38:25
9,7,150,.862967,SUCCESS,177,2025-10-12 23:38:27
